  
 Results from TRNSYS Input File: 
 C:\Users\gawa\Desktop\Course in DTU\47330 energy storage and conversion\Lectur
 es\Lecture 08\47330SDHCal\47330-MarstalSunstore4.trd                          
                                                                               
                                                                   
 Initiated at time: 2019-11-28 AT  15:13:49
 TIME                    	Power_port_1             	Power_port_2             	Power_port_3             	Power_port_4             	Power_port_5             	Power_hx_1               	Power_hx_2               	Power_hx_3               	Heatloss_whole           	Heatloss_bot             	Heatloss_top             	Energy_change            	Mean_temperature         	Max_T                    	Min_T                    	Tambient                 	
 HOURS              	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ                  	C                   	C                   	C                   	C                   	
  +8.7600000000000000E+03	  -1.1172328724307468E+07	  -2.2531023323061760E+06	  +0.0000000000000000E+00	  -9.5418781966575261E+03	  +1.3673049496198334E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.6869772389152524E+04	  -8.8048557554986419E+03	  -1.5435399473749576E+04	  +2.5480294719559816E+08	  +5.9179350541498032E+01	  +7.3570828315181785E+01	  +4.2772978989636108E+01	  +1.8757867813110352E+00	
  +8.7610000000000000E+03	  -1.2113386486061674E+07	  -2.4522464645772702E+06	  +0.0000000000000000E+00	  -9.5228227074966344E+03	  +1.3842368110252067E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4428695017450613E+04	  -8.2765064476819352E+03	  -1.4914073851607349E+04	  +2.5449782400068599E+08	  +5.9144408651065937E+01	  +7.3557973753627863E+01	  +4.2727500495218706E+01	  +4.2844090461730957E+00	
  +8.7620000000000000E+03	  -1.2214260442221185E+07	  -2.3798263289625747E+06	  +0.0000000000000000E+00	  -9.4948824370566090E+03	  +1.4064351439808862E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2573052275060814E+04	  -7.8767053735678701E+03	  -1.4522582292957253E+04	  +2.5380912542681861E+08	  +5.9065540736367602E+01	  +7.3529886943841348E+01	  +4.2660817272211482E+01	  +6.0747399330139160E+00	
  +8.7630000000000000E+03	  -1.2244924467591293E+07	  -2.3483116602516663E+06	  +0.0000000000000000E+00	  -9.4795843515907472E+03	  +1.4170566360885093E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2906772450123790E+04	  -7.9508130595774801E+03	  -1.4600491864971891E+04	  +2.5327099540254325E+08	  +5.9003915528386074E+01	  +7.3511035172063288E+01	  +4.2624306328378871E+01	  +5.6940102577209473E+00	
  +8.7640000000000000E+03	  -1.2270446633652277E+07	  -2.3221671284125075E+06	  +0.0000000000000000E+00	  -9.4692198101656340E+03	  +1.4245515147687949E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3206867760010391E+04	  -8.0182046691517689E+03	  -1.4670033754748685E+04	  +2.5282375151242423E+08	  +5.8952698356877818E+01	  +7.3496286515076974E+01	  +4.2599569952662613E+01	  +5.3562502861022949E+00	
  +8.7650000000000000E+03	  -1.2292947179707453E+07	  -2.2993124728388721E+06	  +0.0000000000000000E+00	  -9.4616620914632695E+03	  +1.4301009262361296E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3531609669211510E+04	  -8.0910193174237220E+03	  -1.4744009624873750E+04	  +2.5244185116772595E+08	  +5.8908964153044941E+01	  +7.3483642696053209E+01	  +4.2581532437859835E+01	  +5.0000000000000000E+00	
  +8.7660000000000000E+03	  -1.2313180363898210E+07	  -2.2788591624357575E+06	  +0.0000000000000000E+00	  -9.4558792699625174E+03	  +1.4343866876635281E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3904466953748597E+04	  -8.1741648511431222E+03	  -1.4827657542053566E+04	  +2.5210903859421837E+08	  +5.8870851349194439E+01	  +7.3472174706174826E+01	  +4.2567730954564482E+01	  +4.6000003814697266E+00	
  +8.7670000000000000E+03	  -1.2331597936341470E+07	  -2.2602941065999954E+06	  +0.0000000000000000E+00	  -9.4513111620785712E+03	  +1.4377921200786676E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4236853796898169E+04	  -8.2485156344221596E+03	  -1.4902045550359297E+04	  +2.5181449976677328E+08	  +5.8837121552154436E+01	  +7.3461445205211348E+01	  +4.2556828549113540E+01	  +4.2437500953674316E+00	
  +8.7680000000000000E+03	  -1.2348505564791286E+07	  -2.2432820306017166E+06	  +0.0000000000000000E+00	  -9.4476181343152275E+03	  +1.4405565360578980E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4554612429300403E+04	  -8.3196156961098895E+03	  -1.4972844903076497E+04	  +2.5155060206840652E+08	  +5.8806900695086298E+01	  +7.3451234549842553E+01	  +4.2548014640370468E+01	  +3.9046874046325684E+00	
